,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability,Confidence_activity_Automated,Confidence_activity_Physical or Cognitive Task,Confidence_action_Automated,Confidence_action_Low Automatable User Task,Confidence_action_High Automatable User Task,Confidence_action_Physical or Cognitive Task,Confidence_business object_Automated,Confidence_business object_Physical or Cognitive Task,task_type
657,0.7834091782569885,False,False,0.0,0.0,1.3,9,0.003031362947417513,0.63,3.528514099761438e-06,0.2300595392424834,0.7966142892837524,0.2033857107162476,0.2325701713562012,0.3736622333526611,0.22120162844657895,0.1725659966468811,0.7001197934150696,0.2998802065849304,Low Automatable User Task
618,1.0,False,False,5.0,3.0,1.0655907239109996,13,0.15066942278768047,5802575.0,0.049635405071918375,4.725402272304905,0.869705855846405,0.1302940845489502,0.0,0.0,0.0,0.0,0.6935710310935974,0.3064289093017578,Low Automatable User Task
594,0.5239957571029663,False,False,4.0,2.0,2.0,5,0.0071736011477761845,0.0,0.0004854368932038835,0.1,0.6154166460037231,0.3845833539962769,0.21018733084201813,0.2083982080221176,0.14302514493465426,0.4383892416954041,0.4521942734718323,0.5478057265281677,Physical or Cognitive Task
644,0.383373886346817,False,False,0.0,3.0,1.0636363636363635,0,0.0076902852635730426,108.07,0.0007614314667640398,21.217565813282963,0.7348042726516724,0.26519575715065,0.0,0.0,0.0,0.0,0.6486307382583618,0.35136929154396057,Physical or Cognitive Task
373,1.0,False,False,2.0,2.0,4.034948081057592,122,0.12350636658198436,0.09,0.0651206900001573,0.051138370793504036,0.8145666718482971,0.1854332983493805,0.2377118468284607,0.3208305537700653,0.249430388212204,0.19202718138694766,0.7340512275695801,0.2659488022327423,Low Automatable User Task
271,0.5927740931510925,False,False,3.0,3.0,1.0,4,0.00011272940433782749,0.0,4.691921771179174e-10,0.010222222222222223,0.5895785689353943,0.4104214310646057,0.0,0.0,0.0,0.0,0.5852005481719971,0.4147994518280029,Physical or Cognitive Task
409,0.4977844655513763,False,False,2.0,5.0,1.2087378640776698,29,9.903486743248371e-05,0.39,0.0003466655036117534,395.37359614868086,0.5041161179542542,0.4958838522434234,0.2392832338809967,0.3771024942398071,0.23654071986675265,0.14707358181476593,0.753200352191925,0.2467995882034301,Low Automatable User Task
483,0.6281129121780396,True,True,1.0,1.0,1.0,6,0.001277312751386019,1471.03,0.0011312651217016475,83.69536118939371,0.20912526547908786,0.790874719619751,0.2065145969390869,0.21403315663337708,0.14413444697856906,0.4353177547454834,0.3984242081642151,0.6015758514404297,Physical or Cognitive Task
504,0.5681877136230469,True,False,1.0,9.0,1.1052631578947372,6,0.004603748766853003,1511.9,0.0026195664828553584,139.67137485901006,0.2082609385251999,0.7917390465736389,0.2065145969390869,0.21403315663337708,0.14413444697856906,0.4353177547454834,0.3160761594772339,0.6839238405227661,Physical or Cognitive Task
522,0.6281129121780396,False,False,6.0,4.0,1.3188177684505071,1,0.08709763111998732,1552.67,0.03530404838844761,2.111096508124344,0.8582905530929565,0.14170950651168826,0.19447220861911774,0.3166812062263489,0.22159601747989652,0.26725056767463684,0.5961570739746094,0.4038428962230681,High Automatable User Task
